OrderID,Year,Quarter,Month,Week,Units
1,2024,Q1,January,W1,27
2,2024,Q1,January,W2,93
3,2024,Q1,January,W3,67
4,2024,Q1,January,W4,56
5,2024,Q1,February,W1,26
6,2024,Q1,February,W2,36
7,2024,Q1,February,W3,47
8,2024,Q1,February,W4,100
9,2024,Q1,March,W1,31
10,2024,Q1,March,W2,12
11,2024,Q1,March,W3,63
12,2024,Q1,March,W4,83
13,2024,Q2,April,W1,56
14,2024,Q2,April,W2,56
15,2024,Q2,April,W3,14
16,2024,Q2,April,W4,21
17,2024,Q2,May,W1,74
18,2024,Q2,May,W2,61
19,2024,Q2,May,W3,93
20,2024,Q2,May,W4,68
21,2024,Q2,June,W1,99
22,2024,Q2,June,W2,88
23,2024,Q2,June,W3,92
24,2024,Q2,June,W4,44
25,2024,Q3,July,W1,24
26,2024,Q3,July,W2,59
27,2024,Q3,July,W3,38
28,2024,Q3,July,W4,70
29,2024,Q3,August,W1,55
30,2024,Q3,August,W2,43
31,2024,Q3,August,W3,100
32,2024,Q3,August,W4,71
33,2024,Q3,September,W1,92
34,2024,Q3,September,W2,20
35,2024,Q3,September,W3,83
36,2024,Q3,September,W4,20
37,2024,Q4,October,W1,95
38,2024,Q4,October,W2,96
39,2024,Q4,October,W3,68
40,2024,Q4,October,W4,20
41,2024,Q4,November,W1,72
42,2024,Q4,November,W2,69
43,2024,Q4,November,W3,14
44,2024,Q4,November,W4,92
45,2024,Q4,December,W1,17
46,2024,Q4,December,W2,92
47,2024,Q4,December,W3,80
48,2024,Q4,December,W4,76
49,2025,Q1,January,W1,78
50,2025,Q1,January,W2,28
51,2025,Q1,January,W3,73
52,2025,Q1,January,W4,40
53,2025,Q1,February,W1,75
54,2025,Q1,February,W2,94
55,2025,Q1,February,W3,53
56,2025,Q1,February,W4,44
57,2025,Q1,March,W1,29
58,2025,Q1,March,W2,33
59,2025,Q1,March,W3,93
60,2025,Q1,March,W4,24
61,2025,Q2,April,W1,78
62,2025,Q2,April,W2,59
63,2025,Q2,April,W3,95
64,2025,Q2,April,W4,96
65,2025,Q2,May,W1,41
66,2025,Q2,May,W2,92
67,2025,Q2,May,W3,18
68,2025,Q2,May,W4,99
69,2025,Q2,June,W1,92
70,2025,Q2,June,W2,34
71,2025,Q2,June,W3,75
72,2025,Q2,June,W4,97
73,2025,Q3,July,W1,18
74,2025,Q3,July,W2,11
75,2025,Q3,July,W3,80
76,2025,Q3,July,W4,89
77,2025,Q3,August,W1,69
78,2025,Q3,August,W2,96
79,2025,Q3,August,W3,86
80,2025,Q3,August,W4,27
81,2025,Q3,September,W1,52
82,2025,Q3,September,W2,28
83,2025,Q3,September,W3,45
84,2025,Q3,September,W4,82
85,2025,Q4,October,W1,14
86,2025,Q4,October,W2,48
87,2025,Q4,October,W3,13
88,2025,Q4,October,W4,34
89,2025,Q4,November,W1,68
90,2025,Q4,November,W2,51
91,2025,Q4,November,W3,11
92,2025,Q4,November,W4,92
93,2025,Q4,December,W1,92
94,2025,Q4,December,W2,99
95,2025,Q4,December,W3,90
96,2025,Q4,December,W4,53
